O3,RH,WSP,TMP
32.6,50.3,1.7,14.7
24.3,48.7,1.4,14.8
25.1,44.8,1.4,15.7
18.7,49.1,1.4,14.4
22.5,44.4,1.3,15.2
23.7,41.5,1.5,15.4
22.9,39.9,1.8,14.4
19.3,45.6,1.9,12.8
16.9,44.2,1.7,11.9
17.9,30.1,1.6,13.6
22.7,36.9,1.6,14.3
24.1,36.5,1.7,14.1
19.0,33.9,1.6,13.7
18.6,55.5,1.8,11.0
19.2,40.9,1.9,12.3
23.1,31.0,1.5,13.6
22.2,31.6,1.6,13.4
26.1,38.0,1.7,13.7
21.4,43.9,1.5,13.6
22.3,41.1,1.4,13.9
21.2,35.2,1.8,14.6
25.0,31.7,1.9,15.4
29.4,33.2,1.7,15.2
27.3,33.5,1.6,14.5
29.6,41.5,1.7,13.9
25.3,45.2,1.7,14.1
23.2,41.4,1.7,15.2
23.8,37.0,1.8,15.2
18.4,43.8,2.0,12.5
15.9,56.1,2.2,10.9
20.5,42.1,1.8,10.7
22.9,43.2,1.5,13.4
25.3,37.2,1.4,15.3
21.2,36.1,1.7,16.0
23.0,38.6,1.7,15.5
25.8,41.6,1.6,15.8
24.5,43.9,1.8,14.7
30.6,38.3,1.5,16.2
26.6,37.1,1.8,15.3
26.5,31.4,1.9,15.6
25.6,35.4,2.3,14.4
21.4,48.1,2.1,13.1
19.7,45.7,1.6,13.4
27.1,35.7,1.7,15.3
28.1,35.9,1.8,15.5
26.2,39.0,1.8,14.9
29.5,38.0,2.0,15.8
28.4,31.0,2.0,16.3
30.4,28.4,2.4,16.5
27.7,26.9,2.2,16.3
25.3,25.3,1.7,15.7
29.9,32.1,1.7,16.2
28.1,35.6,2.0,16.8
34.7,36.1,1.6,16.4
35.0,37.7,1.8,16.9
33.3,35.5,2.1,17.2
29.8,31.6,1.9,17.1
34.5,36.5,1.8,16.7
34.5,36.5,1.7,17.5
28.2,43.0,2.0,16.9
28.9,40.3,1.6,17.4
34.7,35.3,1.6,18.6
35.1,44.4,2.4,17.4
29.6,47.7,2.2,16.1
24.0,48.6,2.0,15.1
